%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=211956, 2017/01/30 14:22:35.58)
1 15  3.858564285380954600e+01 0 0 7.197631e-02 -1.856294e-02 2.578737e-01 1.005633e-02 1.562466e-02 -2.085135e-01 -2.288441e-02 -1.706521e-01 -2.293679e-01 4.404785e-02 -1.038537e-01 -3.594513e-01 -1.442676e-01 -2.888012e-03 -5.284021e-02 2.754821e-02 3.943551e-01 1.065773e-02 2.028448e-01 1.214918e-01 1.245426e-01 -9.835836e-02 -8.452439e-02 2.156976e-01 5.715648e-02 8.331565e-02 1.582047e-01 -2.412942e-02 -1.117380e-01 -2.088892e-01 
2 29  3.530421995944833900e+01 0 0 4.194252e-02 -2.637555e-01 1.314654e-01 -1.078044e-01 -2.422857e-01 -4.710797e-02 -1.919779e-01 2.411417e-02 1.253372e-01 -1.012479e-01 -4.445269e-01 -2.389530e-01 -1.870483e-01 -1.357707e-01 -1.990381e-01 1.946062e-01 2.885877e-01 -5.764256e-02 -3.662413e-02 1.502319e-01 4.464418e-02 1.410844e-01 3.251965e-02 8.708069e-03 -9.964696e-02 2.962438e-01 -1.404829e-01 -1.251276e-01 -3.405616e-01 -2.440794e-02 
3 43  3.299572431700721600e+01 0 0 -2.252490e-02 -8.616920e-02 -2.116843e-01 -2.919786e-01 -1.395550e-01 -2.132555e-01 8.019564e-02 -1.069953e-01 7.797607e-03 -7.320021e-02 -2.713636e-01 -1.264383e-01 -1.117504e-01 -1.553482e-01 -6.529582e-01 -2.693692e-01 2.796456e-01 9.999160e-02 2.048527e-01 7.841535e-03 2.355861e-01 -5.467492e-02 -2.165322e-01 6.348240e-02 -9.629244e-02 1.674954e-01 -3.818770e-02 -3.832081e-02 -2.922902e-01 1.239656e-01 
4 57  3.027106581290642500e+01 0 0 -9.035541e-02 -2.271121e-01 -1.144570e-01 -2.258659e-01 -2.779889e-02 2.788422e-02 -1.414611e-01 -2.485269e-01 -1.485862e-02 -1.607863e-01 -4.486364e-01 -7.365301e-03 -1.567727e-01 -4.110642e-01 -6.316916e-01 3.832602e-02 3.692847e-01 3.439320e-01 4.185345e-01 -1.567037e-03 2.919473e-01 8.907554e-03 1.942383e-01 2.333241e-01 3.034059e-04 2.499726e-01 -7.471622e-03 -6.800181e-02 -4.920340e-01 5.765798e-02 
5 71  2.869178623208008400e+01 0 0 2.102383e-01 -4.370123e-02 -2.387439e-02 -2.150199e-01 -6.051115e-02 8.040238e-02 -5.347049e-02 -2.955282e-01 -1.741243e-01 1.935120e-02 -3.710132e-01 3.568876e-01 -3.017103e-01 -2.794053e-01 -9.026192e-01 -1.207950e-01 2.718550e-01 4.445764e-01 3.481323e-01 7.534942e-02 2.795959e-01 7.991884e-02 -5.781302e-02 -1.313060e-01 1.483453e-01 3.910645e-01 -2.203718e-01 -1.390980e-01 -3.079381e-01 -1.722123e-01 
6 85  2.647956417069711000e+01 0 0 2.293493e-01 -7.636173e-02 -1.705340e-02 5.929267e-02 2.748382e-01 1.881533e-01 -8.172113e-02 -4.077149e-01 -1.623416e-01 -1.916616e-01 -4.350955e-01 7.492439e-02 1.126998e-01 -3.140205e-01 -1.046363e+00 -1.921586e-01 -2.878075e-02 1.166468e-01 8.955859e-01 2.082511e-01 6.026396e-01 -1.932934e-01 1.740168e-01 -1.618436e-02 9.346543e-02 5.035295e-01 -3.552071e-01 -2.139869e-01 -1.978426e-01 -9.105435e-02 
7 99  2.636310563877377100e+01 0 0 6.535602e-02 -1.551518e-01 3.815983e-02 -1.273151e-01 1.164240e-01 2.158491e-01 -1.558333e-01 -5.600229e-02 -4.137031e-01 -1.067978e-01 -3.787355e-01 1.919749e-01 -2.083861e-01 -3.365326e-01 -9.517033e-01 1.656302e-01 9.636053e-04 7.152423e-02 4.398545e-01 3.649938e-01 6.607072e-01 -2.686114e-01 1.794266e-02 -2.440679e-03 2.907126e-01 4.441294e-01 -1.404318e-01 -1.649862e-01 -4.378087e-01 -2.812317e-01 
8 113  2.296120819021962600e+01 0 0 2.631569e-02 -6.884381e-02 -2.126243e-01 -2.335057e-01 1.480966e-01 -4.848089e-02 -4.381838e-01 2.992810e-03 -2.369542e-01 -3.855762e-01 -1.045860e-01 2.210540e-01 -3.354413e-01 -4.803205e-01 -8.796546e-01 2.769450e-01 2.216189e-02 -5.615731e-02 5.534381e-01 3.307101e-01 4.455986e-01 -7.985586e-02 -7.882239e-02 -2.820348e-03 4.443420e-01 1.250052e-01 7.549500e-02 -1.806598e-01 -6.718755e-01 -4.706810e-01 
9 127  1.665200122004848300e+01 0 0 -3.028128e-01 -4.250586e-02 3.709421e-01 -1.677765e-01 -4.109265e-01 -3.048311e-01 -3.277517e-01 -5.044292e-01 -3.612538e-01 -1.206388e-01 2.801168e-02 2.661813e-01 -4.107088e-01 -5.848799e-01 -1.282263e+00 -1.817915e-01 4.665930e-01 -6.370373e-02 5.510752e-01 8.947049e-01 2.289491e-01 -1.410802e-01 2.270507e-01 -1.071336e-01 1.942270e-01 8.039585e-01 -1.108123e-01 -2.977929e-01 -3.098958e-01 -4.893167e-01 
10 141  1.415260516299986500e+01 0 0 1.180513e-01 -1.029085e-01 1.728172e-01 2.911247e-01 2.403182e-02 -1.940725e-01 -2.826156e-01 -1.848314e-01 -5.212042e-01 -4.385123e-01 7.480373e-03 4.857180e-01 -3.453158e-01 -6.737877e-01 -1.188804e+00 -2.227244e-01 1.887317e-01 -2.011414e-01 6.976214e-01 7.292516e-01 4.480889e-01 -3.340454e-01 8.995577e-02 -3.125430e-01 2.994199e-01 7.420004e-01 -8.574625e-02 -8.621709e-02 -7.941208e-01 -1.766293e-01 
