%  columns="iteration, evaluation, void, void, void, xmean" (startseed=211956, 2017/01/30 14:22:35.58)
0 1 0 0 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1 15 0 0 0 2.652589e-02 -1.499502e-02 7.512545e-02 -5.353586e-02 -6.982903e-02 -6.376771e-02 -5.209117e-03 1.527431e-02 -1.315838e-01 -2.375140e-02 6.091653e-03 -2.477662e-01 -1.275429e-01 -7.761039e-02 -1.689508e-01 6.012206e-02 2.185964e-01 2.880220e-02 8.409360e-02 1.311032e-01 8.708670e-02 4.375142e-02 -9.325997e-02 5.399580e-02 3.828785e-02 7.689779e-02 7.818826e-02 -5.391078e-02 -7.290800e-02 -1.795256e-02 
2 29 0 0 0 7.292174e-02 -1.480513e-01 1.195138e-01 -4.668189e-02 -1.338702e-01 -5.532909e-02 -1.195584e-01 -7.219796e-03 -1.166585e-01 -4.332965e-02 -2.604938e-01 -2.572605e-01 -1.570829e-01 -1.699015e-01 -2.582696e-01 1.303722e-01 2.393177e-01 9.448363e-03 9.519309e-02 1.183073e-01 1.276617e-01 5.609880e-02 -7.326761e-02 1.108235e-01 4.359155e-02 1.053559e-01 8.322327e-02 -5.525630e-02 -1.596297e-01 -2.338588e-02 
3 43 0 0 0 -7.861870e-03 -1.255919e-01 1.006909e-02 -1.780540e-01 -8.262533e-02 -4.700443e-02 -5.040976e-02 -8.435869e-02 -1.279554e-01 -7.365284e-02 -3.262255e-01 -2.022879e-01 -1.682102e-01 -1.499312e-01 -4.820758e-01 -8.691307e-03 2.727117e-01 1.120734e-01 2.004122e-01 7.411078e-02 2.513494e-01 2.271424e-02 -1.038596e-01 8.251515e-02 -3.031417e-02 1.955830e-01 -1.649056e-02 -6.714462e-02 -2.863998e-01 3.884431e-02 
4 57 0 0 0 -4.041706e-02 -1.257071e-01 -1.946182e-02 -1.841815e-01 -4.906294e-02 8.350893e-03 -3.285430e-02 -1.788219e-01 -1.796664e-01 -1.980038e-01 -3.925901e-01 -1.053479e-01 -1.102718e-01 -2.296555e-01 -6.184527e-01 -3.723638e-02 2.169833e-01 2.368217e-01 3.648029e-01 2.746880e-02 2.754090e-01 3.007561e-02 5.399793e-02 9.135231e-02 3.432129e-02 2.384329e-01 6.634572e-03 -2.293715e-02 -3.975228e-01 3.410553e-02 
5 71 0 0 0 9.019129e-02 -1.126605e-01 2.236457e-02 -2.266470e-01 -6.692555e-02 7.407515e-02 -2.908036e-02 -1.727417e-01 -2.160537e-01 -1.662631e-01 -4.429643e-01 8.994455e-02 -1.817809e-01 -2.409852e-01 -7.485973e-01 -7.219991e-02 1.584413e-01 2.430199e-01 3.617651e-01 1.567004e-01 3.063837e-01 6.075846e-03 -4.955869e-02 -6.364817e-02 1.294432e-01 2.885149e-01 -1.121471e-01 -5.475262e-02 -3.853169e-01 -1.377041e-01 
6 85 0 0 0 1.858818e-01 -1.886468e-01 -4.167806e-02 -9.241140e-02 8.499424e-02 1.644423e-01 -9.783259e-02 -2.131442e-01 -1.377425e-01 -1.653837e-01 -5.296744e-01 1.327753e-01 -8.411991e-02 -3.395177e-01 -8.149738e-01 -6.344619e-02 1.720620e-01 1.363530e-01 4.941242e-01 2.253066e-01 4.926998e-01 -1.372204e-01 1.465946e-01 -1.180961e-02 8.157717e-02 5.117271e-01 -2.731264e-01 -8.977613e-02 -4.108643e-01 -1.573454e-01 
7 99 0 0 0 8.173094e-02 -3.078950e-01 -3.086081e-02 -9.268038e-02 1.555959e-01 2.722958e-01 -2.311996e-01 -1.703411e-01 -2.015072e-01 -2.136185e-01 -4.842314e-01 1.314559e-01 -1.463275e-01 -3.724691e-01 -8.491475e-01 3.772734e-02 1.204420e-01 -6.264046e-02 5.545367e-01 3.671604e-01 5.397907e-01 -1.046159e-01 1.462816e-01 2.405220e-02 1.878827e-01 4.388911e-01 -1.492115e-01 -1.423351e-01 -4.631118e-01 -2.419074e-01 
8 113 0 0 0 2.896676e-02 -1.798795e-01 -6.911745e-02 -2.391832e-01 1.549065e-01 1.594757e-01 -3.677918e-01 -7.441351e-02 -2.595442e-01 -2.567395e-01 -2.716670e-01 2.398781e-01 -2.959885e-01 -4.090487e-01 -8.851453e-01 2.577597e-02 2.013142e-01 -2.994660e-02 5.862729e-01 3.650281e-01 6.012306e-01 -1.184855e-01 2.275019e-02 -2.665109e-02 2.323291e-01 3.027868e-01 -6.857059e-02 -1.910306e-01 -5.325517e-01 -3.570778e-01 
9 127 0 0 0 -1.557080e-01 -1.801199e-01 1.201629e-01 -9.960963e-02 -6.471270e-02 2.195562e-02 -3.954561e-01 -2.354702e-01 -3.401908e-01 -2.561104e-01 -1.041943e-01 3.043829e-01 -3.100470e-01 -5.490509e-01 -1.040027e+00 -1.155340e-01 2.540742e-01 -4.056853e-02 5.960130e-01 6.039558e-01 4.867252e-01 2.247384e-02 -5.039663e-03 -8.775629e-02 2.835907e-01 5.441420e-01 -2.794850e-02 -2.072948e-01 -5.369657e-01 -3.947152e-01 
