%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=211956, 2017/01/30 14:22:35.58)
1 15 1.443025e-01 1.045729e+00  3.858564285380954600e+01  3.858564285380954600e+01  4.388731718626266300e+01  5.018977180480337100e+01
2 29 1.430170e-01 1.066765e+00  3.530421995944833900e+01  3.530421995944833900e+01  3.810706909456661200e+01  4.437260333102277300e+01
3 43 1.454698e-01 1.092159e+00  3.299572431700721600e+01  3.299572431700721600e+01  3.565129414638460000e+01  4.244205451967213300e+01
4 57 1.518813e-01 1.117267e+00  3.027106581290642500e+01  3.027106581290642500e+01  3.371957274169196200e+01  4.004145015043874900e+01
5 71 1.592711e-01 1.140344e+00  2.869178623208008400e+01  2.869178623208008400e+01  3.328209667284384900e+01  3.894100005962363300e+01
6 85 1.718606e-01 1.162221e+00  2.647956417069711000e+01  2.647956417069711000e+01  3.100244255122574400e+01  3.952854815962299300e+01
7 99 1.829246e-01 1.179166e+00  2.636310563877377100e+01  2.636310563877377100e+01  2.965747541089237800e+01  3.538263757792240900e+01
8 113 1.913485e-01 1.194066e+00  2.296120819021962600e+01  2.296120819021962600e+01  2.820921522728194100e+01  3.489959051388690600e+01
9 127 2.027024e-01 1.219000e+00  1.665200122004848300e+01  1.665200122004848300e+01  2.533772218433217900e+01  3.108180219645945600e+01
10 141 2.165041e-01 1.239114e+00  1.415260516299986500e+01  1.415260516299986500e+01  1.883701864564022100e+01  2.766123639398624300e+01
11 155 2.342386e-01 1.255432e+00  9.366178913961491000e+00  9.366178913961491000e+00  1.708802902509587800e+01  2.106499027429411800e+01
12 169 2.452911e-01 1.267890e+00  7.383838422258277100e+00  7.383838422258277100e+00  1.502645602558900100e+01  2.554987976116309100e+01
13 183 2.553668e-01 1.280695e+00  7.383838422258277100e+00  9.729501300249001600e+00  1.801152077380688600e+01  2.825639202230668800e+01
14 197 2.635352e-01 1.289537e+00  7.383838422258277100e+00  1.209383989856808000e+01  1.734641717858929900e+01  2.536498399289758200e+01
15 211 2.663611e-01 1.298010e+00  7.383838422258277100e+00  8.271493707297811000e+00  1.368140396884620100e+01  2.708773209347902600e+01
16 225 2.691175e-01 1.305807e+00  7.383838422258277100e+00  9.149697626803444500e+00  1.778665608310220500e+01  2.957284522582626400e+01
17 239 2.744940e-01 1.311346e+00  7.383838422258277100e+00  9.042431061931949900e+00  1.535191670927525800e+01  2.426979609608421700e+01
18 253 2.762365e-01 1.316174e+00  5.503245103019046300e+00  5.503245103019046300e+00  1.516519221454595200e+01  2.753615420250477200e+01
19 267 2.762069e-01 1.323755e+00  5.503245103019046300e+00  6.893768296262390300e+00  1.655532558052619400e+01  2.315571792982951000e+01
20 281 2.812977e-01 1.330520e+00  5.503245103019046300e+00  7.037288492349680300e+00  1.623863594459923100e+01  2.813406091188540600e+01
21 295 2.860196e-01 1.335653e+00  5.503245103019046300e+00  8.175034945065220900e+00  1.399536157469483300e+01  2.569062700925941900e+01
22 309 2.897466e-01 1.338770e+00  5.503245103019046300e+00  8.953395864079956500e+00  1.445048236061926500e+01  2.658834063437680900e+01
23 323 2.933088e-01 1.343715e+00  5.503245103019046300e+00  9.147798690185327400e+00  1.457106127253859600e+01  2.394073253058608200e+01
24 337 2.941059e-01 1.347900e+00  5.503245103019046300e+00  8.014310585401474900e+00  1.463945366093907600e+01  1.963586123790949100e+01
25 351 2.977702e-01 1.354939e+00  5.503245103019046300e+00  8.397272984313341100e+00  1.408900719163431200e+01  2.115246737132502400e+01
26 365 3.023997e-01 1.358316e+00  5.503245103019046300e+00  1.015744703111664500e+01  1.788118475056849400e+01  2.994451517653652700e+01
27 379 3.023986e-01 1.369904e+00  5.503245103019046300e+00  8.348163136568397000e+00  1.597602035216378400e+01  2.447235913959632100e+01
28 393 3.053829e-01 1.389295e+00  5.503245103019046300e+00  8.059482109426523900e+00  1.327657197724307300e+01  2.219461724751280900e+01
29 407 3.066077e-01 1.407285e+00  5.503245103019046300e+00  9.497977269741838300e+00  1.511335167776810800e+01  2.440418844061555200e+01
30 421 3.102234e-01 1.431415e+00  5.503245103019046300e+00  7.962179743346254700e+00  1.266124712798360900e+01  1.676448940778468000e+01
31 435 3.122917e-01 1.443900e+00  5.503245103019046300e+00  9.272349725723197300e+00  1.188294292721693600e+01  2.123965831844976300e+01
32 449 3.211448e-01 1.458109e+00  5.503245103019046300e+00  8.840499884020166700e+00  1.376883565430077100e+01  2.205998326920737500e+01
33 463 3.269528e-01 1.466164e+00  5.503245103019046300e+00  9.221969994657147400e+00  1.667684429827158600e+01  2.594461852147948400e+01
34 477 3.315337e-01 1.478992e+00  5.503245103019046300e+00  9.650182091691645400e+00  1.565449809008822900e+01  2.599916506331409100e+01
35 491 3.315554e-01 1.489258e+00  5.503245103019046300e+00  7.544357852139439700e+00  1.292091703017545300e+01  2.290858531777478300e+01
36 505 3.306910e-01 1.499984e+00  5.503245103019046300e+00  8.007987561233745700e+00  1.312766399453761300e+01  2.194537566012728300e+01
37 519 3.324542e-01 1.515382e+00  5.503245103019046300e+00  6.425118267748595200e+00  1.672414753391369400e+01  2.578529523715608500e+01
38 533 3.392906e-01 1.535880e+00  5.503245103019046300e+00  9.184329052067600000e+00  1.437841512474491500e+01  2.011290392728757200e+01
39 547 3.452300e-01 1.547591e+00  5.503245103019046300e+00  8.567862410223050100e+00  1.480183164511407800e+01  2.761597063564735400e+01
40 561 3.561087e-01 1.560247e+00  5.503245103019046300e+00  7.191473565717895000e+00  1.607050086358719600e+01  2.742365636746351900e+01
41 575 3.579690e-01 1.572788e+00  5.503245103019046300e+00  8.669923678926441100e+00  1.662093448068229400e+01  2.894764125934719300e+01
42 589 3.553384e-01 1.583535e+00  5.503245103019046300e+00  1.043741797383978000e+01  1.534851786567669200e+01  2.590113355893239000e+01
43 603 3.570109e-01 1.587779e+00  5.503245103019046300e+00  6.087083573204283800e+00  1.385546636281815900e+01  2.749627542324914800e+01
44 617 3.530977e-01 1.596227e+00  5.503245103019046300e+00  6.321552228097727900e+00  1.320755375089113100e+01  1.752852196165726500e+01
45 631 3.544689e-01 1.601538e+00  5.464849767811884400e+00  5.464849767811884400e+00  1.391251564708163000e+01  2.597263443103807000e+01
46 645 3.540433e-01 1.610643e+00  5.464849767811884400e+00  9.140097702351763300e+00  1.696311639067217000e+01  2.334016071738896500e+01
47 659 3.611288e-01 1.626798e+00  5.464849767811884400e+00  1.016336051554991500e+01  1.619225990094303900e+01  1.988753411518176900e+01
48 673 3.643379e-01 1.636889e+00  5.464849767811884400e+00  5.769089560535510600e+00  1.489669088503153400e+01  2.463418556566010400e+01
49 687 3.597779e-01 1.643612e+00  5.464849767811884400e+00  8.272515621496058500e+00  1.265264384870470600e+01  2.029909363737393200e+01
