%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=211956, 2017/01/30 14:22:35.58)
1 15 1.443025e-01 0 0 1.438812e-01 1.441156e-01 1.445353e-01 1.440351e-01 1.444114e-01 1.441436e-01 1.438517e-01 1.442917e-01 1.443641e-01 1.439032e-01 1.440267e-01 1.453186e-01 1.443607e-01 1.440898e-01 1.446389e-01 1.440861e-01 1.455022e-01 1.439499e-01 1.443123e-01 1.442367e-01 1.440328e-01 1.443007e-01 1.440101e-01 1.443852e-01 1.438685e-01 1.442034e-01 1.444855e-01 1.440684e-01 1.440433e-01 1.443594e-01 
2 29 1.430170e-01 0 0 1.423811e-01 1.430243e-01 1.429521e-01 1.424179e-01 1.430249e-01 1.424341e-01 1.426263e-01 1.427638e-01 1.432898e-01 1.422022e-01 1.443339e-01 1.441982e-01 1.429090e-01 1.426986e-01 1.435383e-01 1.428104e-01 1.440870e-01 1.423215e-01 1.427768e-01 1.428787e-01 1.426413e-01 1.426491e-01 1.425019e-01 1.429680e-01 1.425702e-01 1.429732e-01 1.433216e-01 1.423899e-01 1.428974e-01 1.428879e-01 
3 43 1.454698e-01 0 0 1.446581e-01 1.452831e-01 1.457018e-01 1.450034e-01 1.451521e-01 1.450156e-01 1.449291e-01 1.449972e-01 1.455780e-01 1.442221e-01 1.470665e-01 1.464324e-01 1.451098e-01 1.451137e-01 1.480275e-01 1.458428e-01 1.465791e-01 1.447352e-01 1.453644e-01 1.452225e-01 1.452360e-01 1.447762e-01 1.448331e-01 1.450442e-01 1.449077e-01 1.454069e-01 1.458632e-01 1.444261e-01 1.457020e-01 1.450369e-01 
4 57 1.518813e-01 0 0 1.508073e-01 1.515691e-01 1.517770e-01 1.511978e-01 1.513735e-01 1.512639e-01 1.511365e-01 1.514151e-01 1.522078e-01 1.507396e-01 1.537670e-01 1.529927e-01 1.512849e-01 1.516311e-01 1.554892e-01 1.518741e-01 1.531793e-01 1.511441e-01 1.524066e-01 1.512220e-01 1.516432e-01 1.507452e-01 1.515050e-01 1.514873e-01 1.512600e-01 1.516044e-01 1.519276e-01 1.504162e-01 1.523602e-01 1.510230e-01 
5 71 1.592711e-01 0 0 1.581475e-01 1.585353e-01 1.588313e-01 1.583331e-01 1.583411e-01 1.582656e-01 1.581100e-01 1.584416e-01 1.592741e-01 1.580018e-01 1.614741e-01 1.613089e-01 1.585599e-01 1.587368e-01 1.647301e-01 1.588075e-01 1.604381e-01 1.587337e-01 1.594939e-01 1.586187e-01 1.589010e-01 1.577942e-01 1.587289e-01 1.589119e-01 1.583850e-01 1.590052e-01 1.594576e-01 1.574255e-01 1.596149e-01 1.585446e-01 
6 85 1.718606e-01 0 0 1.704505e-01 1.708228e-01 1.711011e-01 1.711510e-01 1.712490e-01 1.705323e-01 1.703734e-01 1.709114e-01 1.720555e-01 1.700447e-01 1.744616e-01 1.737199e-01 1.718888e-01 1.712119e-01 1.790625e-01 1.710959e-01 1.731101e-01 1.710157e-01 1.736563e-01 1.709642e-01 1.720717e-01 1.706195e-01 1.717357e-01 1.716373e-01 1.704703e-01 1.722043e-01 1.722487e-01 1.695476e-01 1.724794e-01 1.711165e-01 
7 99 1.829246e-01 0 0 1.812295e-01 1.819143e-01 1.816617e-01 1.817916e-01 1.820323e-01 1.815061e-01 1.813309e-01 1.816262e-01 1.835507e-01 1.807094e-01 1.859210e-01 1.845697e-01 1.826317e-01 1.818266e-01 1.913292e-01 1.819064e-01 1.841271e-01 1.824889e-01 1.848737e-01 1.818952e-01 1.831035e-01 1.813032e-01 1.829239e-01 1.827911e-01 1.814371e-01 1.831094e-01 1.836791e-01 1.801871e-01 1.833127e-01 1.823009e-01 
8 113 1.913485e-01 0 0 1.891251e-01 1.901636e-01 1.897818e-01 1.904844e-01 1.900834e-01 1.898998e-01 1.894967e-01 1.896092e-01 1.926040e-01 1.887916e-01 1.948351e-01 1.929949e-01 1.913334e-01 1.898973e-01 2.006201e-01 1.904829e-01 1.929217e-01 1.903966e-01 1.928790e-01 1.903003e-01 1.916551e-01 1.893854e-01 1.914722e-01 1.910566e-01 1.897095e-01 1.916939e-01 1.918477e-01 1.880332e-01 1.919047e-01 1.908612e-01 
9 127 2.027024e-01 0 0 2.004944e-01 2.012694e-01 2.015324e-01 2.017009e-01 2.027692e-01 2.019189e-01 2.002936e-01 2.015259e-01 2.037798e-01 1.995072e-01 2.063377e-01 2.043782e-01 2.025542e-01 2.014731e-01 2.142361e-01 2.020260e-01 2.047374e-01 2.012145e-01 2.041710e-01 2.035532e-01 2.031562e-01 2.008072e-01 2.031172e-01 2.020118e-01 2.006426e-01 2.041692e-01 2.028507e-01 1.986948e-01 2.033584e-01 2.026781e-01 
10 141 2.165041e-01 0 0 2.141390e-01 2.144537e-01 2.147890e-01 2.159931e-01 2.166302e-01 2.157051e-01 2.135233e-01 2.154411e-01 2.176275e-01 2.130789e-01 2.199338e-01 2.182740e-01 2.168137e-01 2.151360e-01 2.295802e-01 2.154452e-01 2.189400e-01 2.146036e-01 2.178449e-01 2.177370e-01 2.172855e-01 2.148861e-01 2.167083e-01 2.155564e-01 2.138835e-01 2.181772e-01 2.164307e-01 2.118321e-01 2.172785e-01 2.163509e-01 
11 155 2.342386e-01 0 0 2.313642e-01 2.317391e-01 2.320384e-01 2.334816e-01 2.342692e-01 2.330731e-01 2.310531e-01 2.338628e-01 2.352094e-01 2.303753e-01 2.375778e-01 2.363169e-01 2.355586e-01 2.325786e-01 2.491566e-01 2.327073e-01 2.370347e-01 2.318340e-01 2.353610e-01 2.355953e-01 2.350684e-01 2.322747e-01 2.344393e-01 2.330525e-01 2.312866e-01 2.361707e-01 2.341362e-01 2.296633e-01 2.350133e-01 2.339528e-01 
12 169 2.452911e-01 0 0 2.422235e-01 2.421992e-01 2.423403e-01 2.446129e-01 2.450308e-01 2.439741e-01 2.416740e-01 2.447327e-01 2.465370e-01 2.408744e-01 2.489518e-01 2.481221e-01 2.464668e-01 2.431184e-01 2.618261e-01 2.433351e-01 2.477093e-01 2.425317e-01 2.459926e-01 2.462339e-01 2.456953e-01 2.433280e-01 2.452593e-01 2.435216e-01 2.418128e-01 2.467372e-01 2.448327e-01 2.399402e-01 2.467742e-01 2.452045e-01 
13 183 2.553668e-01 0 0 2.520233e-01 2.534787e-01 2.518472e-01 2.548359e-01 2.545721e-01 2.536963e-01 2.513441e-01 2.542522e-01 2.560458e-01 2.508405e-01 2.586300e-01 2.580068e-01 2.564400e-01 2.529571e-01 2.741969e-01 2.528446e-01 2.571559e-01 2.522846e-01 2.555266e-01 2.568592e-01 2.557536e-01 2.531369e-01 2.548593e-01 2.540384e-01 2.513399e-01 2.563185e-01 2.545021e-01 2.491690e-01 2.569998e-01 2.549542e-01 
14 197 2.635352e-01 0 0 2.597504e-01 2.620129e-01 2.596195e-01 2.637959e-01 2.634489e-01 2.630735e-01 2.592026e-01 2.628176e-01 2.638530e-01 2.586115e-01 2.667574e-01 2.659802e-01 2.643536e-01 2.605880e-01 2.844366e-01 2.607691e-01 2.651644e-01 2.600759e-01 2.633354e-01 2.645784e-01 2.651950e-01 2.604953e-01 2.634830e-01 2.624547e-01 2.589671e-01 2.637499e-01 2.626222e-01 2.572043e-01 2.648295e-01 2.631267e-01 
